task,seed,method,normalized_HV,shape_error,force_MAPE
unseen LCE formulation A,3,qLogNEHVI,0.8576469072492419,0.05995430725375454,0.09989255791568688
unseen LCE formulation A,4,qLogNEHVI,0.8678047836378433,0.06749338310566956,0.10742730621197642
unseen LCE formulation A,5,qLogNEHVI,0.8580564411005629,0.0675346589904557,0.10369237850200448
unseen LCE formulation A,6,qLogNEHVI,0.8723170598029031,0.05802069057271088,0.0984752749798738
unseen LCE formulation A,7,qLogNEHVI,0.8557850674545332,0.06967904553011661,0.08471686138461018
unseen LCE formulation A,8,qLogNEHVI,0.8423274986654778,0.07900041715856108,0.09843175666030012
unseen LCE formulation A,9,qLogNEHVI,0.8485093405622387,0.06747977103354798,0.1110344365948565
unseen LCE formulation A,10,qLogNEHVI,0.8723483849605761,0.06262334210639815,0.09222294690351432
unseen LCE formulation A,11,qLogNEHVI,0.8581602518761706,0.06106276800558199,0.11212717629613843
unseen LCE formulation A,12,qLogNEHVI,0.8636253569687272,0.06949742448040026,0.10636275117638674
unseen LCE formulation A,13,qLogNEHVI,0.8379966223286898,0.07157421531726307,0.13089425811363475
unseen LCE formulation A,14,qLogNEHVI,0.8631005980857533,0.06615627639764037,0.09663499163939825
unseen LCE formulation A,15,qLogNEHVI,0.8388352300712729,0.06942264934984063,0.09007351961391474
unseen LCE formulation A,16,qLogNEHVI,0.8662527405640559,0.06795441779053964,0.10188658165021636
unseen LCE formulation A,17,qLogNEHVI,0.8527952315317574,0.06874727501047914,0.11156893895736332
unseen LCE formulation A,18,qLogNEHVI,0.8538250604741434,0.07917871480917632,0.08797494760113392
unseen LCE formulation A,19,qLogNEHVI,0.8579157097541753,0.0672751002190014,0.10343660207156867
unseen LCE formulation A,20,qLogNEHVI,0.8700060850735994,0.061782294464458556,0.11105925524734007
unseen LCE formulation A,1,MOMF,0.8479979117973641,0.06199161320819677,0.11759951000069842
unseen LCE formulation A,2,MOMF,0.8491138176212356,0.07330091271121979,0.12230151542147004
unseen LCE formulation A,3,MOMF,0.8434079804578791,0.06633077450716822,0.1197436323913919
unseen LCE formulation A,4,MOMF,0.8349252548630048,0.07440735061742193,0.10390562468088485
unseen LCE formulation A,5,MOMF,0.8490520118924503,0.07426624253419992,0.1211838396993606
unseen LCE formulation A,6,MOMF,0.8365398931170852,0.08193785547153645,0.11119030791910621
unseen LCE formulation A,7,MOMF,0.8435736811648682,0.07893034812980133,0.1234409010569792
unseen LCE formulation A,8,MOMF,0.8242115977994393,0.07813378599803324,0.09881758567362657
unseen LCE formulation A,9,MOMF,0.8591761149088778,0.07575371472811854,0.12909344834178618
