paired_cases,variant,seed,shape_MAE,force_MAPE
40,data-only residual network,5,0.04312855330268848,0.08975901396612537
40,data-only residual network,6,0.03626307720760514,0.08651166927932677
40,data-only residual network,7,0.04172803958537086,0.10090043242369261
40,data-only residual network,8,0.04985113728407687,0.09519532807635314
40,data-only residual network,9,0.04303936672073936,0.10321489844007113
40,data-only residual network,10,0.04173213531600125,0.09283162782600139
40,data-only residual network,11,0.03758473435256411,0.10542839182817546
40,data-only residual network,12,0.03552692215625089,0.08958721695937713
40,data-only residual network,13,0.04235109606020106,0.10657682975408334
40,data-only residual network,14,0.03822246591019976,0.10806273346963656
40,data-only residual network,15,0.0377205832958091,0.089371805515986
40,data-only residual network,16,0.03932189752168413,0.0879610246299176
40,data-only residual network,17,0.03985354308990246,0.09673555262275901
40,data-only residual network,18,0.03838032554056358,0.1077947723233542
40,data-only residual network,19,0.0401405879258968,0.0933171532748299
40,data-only residual network,20,0.03841922565134573,0.08957146907245825
40,data-only residual network,21,0.03848627461270807,0.10294301884974762
40,data-only residual network,22,0.035661856592546136,0.08387846453802666
40,data-only residual network,23,0.04079606277851501,0.09492404251055563
40,data-only residual network,24,0.041349176253113074,0.08715193589295367
40,data-only residual network,25,0.037557331844526386,0.08327773256147382
40,data-only residual network,26,0.04169566480241935,0.10667930366436289
40,data-only residual network,27,0.039766174817716465,0.10328531517316453
40,data-only residual network,28,0.037236536736644,0.1031050545014286
40,data-only residual network,29,0.04207183369994099,0.0985500546312879
40,data-only residual network,30,0.03692185776196683,0.10395046823084385
80,physics-informed residual PIRN,1,0.02597696279047655,0.048317225225444814
80,physics-informed residual PIRN,2,0.02714231904490968,0.07716551596689561
80,physics-informed residual PIRN,3,0.020805385953215648,0.048056730508942457
80,physics-informed residual PIRN,4,0.02462999736338333,0.0608495908741193
80,physics-informed residual PIRN,5,0.017125434097750143,0.06406673054344994
80,physics-informed residual PIRN,6,0.021339781116339992,0.04868569874793762
80,physics-informed residual PIRN,7,0.018865342599182548,0.04160197487269943
80,physics-informed residual PIRN,8,0.018687134213388003,0.04355936510216493
80,physics-informed residual PIRN,9,0.022112135448652887,0.040622282076150415
80,physics-informed residual PIRN,10,0.021667034500980144,0.06208592016451598
80,physics-informed residual PIRN,11,0.027862034773067836,0.04755131550730612
80,physics-informed residual PIRN,12,0.021221392324904505,0.049149821683245644
80,physics-informed residual PIRN,13,0.020025852832611088,0.06315616229899848
80,physics-informed residual PIRN,14,0.021638574663543887,0.06472971998536324
80,physics-informed residual PIRN,15,0.020803834829269504,0.04430809517195421
80,physics-informed residual PIRN,16,0.01840949365261038,0.06648968536727123
80,physics-informed residual PIRN,17,0.026213885643828254,0.06115745238883763
80,physics-informed residual PIRN,18,0.01696424462818366,0.042975105266432015
80,physics-informed residual PIRN,19,0.016652891110758794,0.03451875009499228
80,physics-informed residual PIRN,20,0.02442893957584681,0.06342694275959251
80,physics-informed residual PIRN,21,0.018614592171419125,0.05258548187996316
80,physics-informed residual PIRN,22,0.022944262991145548,0.051514984603584946
80,physics-informed residual PIRN,23,0.01921125728440906,0.047969987256438855
80,physics-informed residual PIRN,24,0.01942274112447399,0.05219420915839292
80,physics-informed residual PIRN,25,0.022437661074830733,0.04142945748538604
80,physics-informed residual PIRN,26,0.022274096737155958,0.0649533744532607
80,physics-informed residual PIRN,27,0.025712950873024554,0.06501285814968011
80,physics-informed residual PIRN,28,0.024403567389007407,0.051484017667158474
80,physics-informed residual PIRN,29,0.02537997036013751,0.05507665529731397
80,physics-informed residual PIRN,30,0.02379107773327369,0.046759805618539776
80,data-only residual network,1,0.03718489860634756,0.07825982259031158
80,data-only residual network,2,0.034696415833073035,0.08625938994699309
80,data-only residual network,3,0.03904971963048996,0.07909883191411529
80,data-only residual network,4,0.03567792204426867,0.09012645869394409
80,data-only residual network,5,0.03412406590778239,0.09950698395815866
80,data-only residual network,6,0.03705582249684535,0.09009891018320863
80,data-only residual network,7,0.036315851909650594,0.08835950436396951
80,data-only residual network,8,0.03667305847907475,0.1055154246711966
80,data-only residual network,9,0.035209419731576104,0.09181898499454708
80,data-only residual network,10,0.0361177429428991,0.090628090301732
80,data-only residual network,11,0.027707558534581345,0.0951795620759004
80,data-only residual network,12,0.03679103478921738,0.09481287097701567
80,data-only residual network,13,0.03268947850351446,0.09232234833149078
80,data-only residual network,14,0.037110330265764956,0.08002936906225168
80,data-only residual network,15,0.03870425585548966,0.08281902505687176
80,data-only residual network,16,0.03816509369596496,0.08886552745026341
80,data-only residual network,17,0.036648281438037375,0.08691976138788292
80,data-only residual network,18,0.03769977172100649,0.09757306613281193
80,data-only residual network,19,0.038713515793392765,0.07486486869357616
80,data-only residual network,20,0.03864222310150278,0.08437378162757343
80,data-only residual network,21,0.036480123335610855,0.08410801998542798
80,data-only residual network,22,0.03154623756440836,0.07488288003533636
