seed,Frank3,fingerprint,PIRN,physics_gate,normalized_HV
9,1,0,1,1,0.9009221728319307
10,1,0,1,1,0.8988540065588994
11,1,0,1,1,0.9032146347061265
12,1,0,1,1,0.9063924114232886
13,1,0,1,1,0.9090465148855074
14,1,0,1,1,0.9076660198619526
15,1,0,1,1,0.9035731547725906
16,1,0,1,1,0.9078603624577801
17,1,0,1,1,0.9066304273496403
18,1,0,1,1,0.9103566007247521
19,1,0,1,1,0.9093182108811846
20,1,0,1,1,0.9116427315133537
1,0,1,1,1,0.9073104211085048
2,0,1,1,1,0.9063695401567858
3,0,1,1,1,0.9134721049489263
4,0,1,1,1,0.906714932179407
5,0,1,1,1,0.9187152852027798
6,0,1,1,1,0.9088464563808643
7,0,1,1,1,0.9145329302921315
8,0,1,1,1,0.9138162839564661
9,0,1,1,1,0.9131323766823799
10,0,1,1,1,0.9133453512905543
11,0,1,1,1,0.9155439872611775
12,0,1,1,1,0.9053057779852353
13,0,1,1,1,0.9136095986922146
14,0,1,1,1,0.9169015064152198
15,0,1,1,1,0.9097202754924062
16,0,1,1,1,0.9129702679187053
17,0,1,1,1,0.9105188175407092
18,0,1,1,1,0.9039220017653878
19,0,1,1,1,0.9127972277064469
20,0,1,1,1,0.9060798089496568
1,1,1,1,1,0.9415257087101042
2,1,1,1,1,0.9452141594515647
3,1,1,1,1,0.9449635512557543
4,1,1,1,1,0.9394667573725767
5,1,1,1,1,0.9449913268070961
6,1,1,1,1,0.9549144805156194
7,1,1,1,1,0.9526103738116739
8,1,1,1,1,0.944117389170434
9,1,1,1,1,0.9457460344369567
10,1,1,1,1,0.94643720869562
11,1,1,1,1,0.9458183234646539
12,1,1,1,1,0.9356457843575938
13,1,1,1,1,0.9389009287306825
14,1,1,1,1,0.9464196349816426
15,1,1,1,1,0.949008259619126
16,1,1,1,1,0.9571433670896983
17,1,1,1,1,0.9418792200835955
18,1,1,1,1,0.9445973026987817
19,1,1,1,1,0.9415257958521834
20,1,1,1,1,0.9478918806075076
