method,seed,HF_calls,normalized_HV,IGD_plus
Frank-WT MF-PIRN,14,150,0.9334310431872727,0.004819681672435067
Frank-WT MF-PIRN,14,160,0.936476800344681,0.004452179650541226
Frank-WT MF-PIRN,14,170,0.9356754309212986,0.004360784408812083
Frank-WT MF-PIRN,14,180,0.9371176693179653,0.004127070870876565
Frank-WT MF-PIRN,14,190,0.9375490657375092,0.004271308006477512
Frank-WT MF-PIRN,14,200,0.9377277549469103,0.005326096835034313
Frank-WT MF-PIRN,15,20,0.714365543475221,0.046331007573135345
Frank-WT MF-PIRN,15,30,0.7692221719622201,0.034723258809191054
Frank-WT MF-PIRN,15,40,0.8062453393330954,0.026607697870535425
Frank-WT MF-PIRN,15,50,0.845900462161337,0.019581129519835382
Frank-WT MF-PIRN,15,60,0.8637259512348885,0.015164791721698226
Frank-WT MF-PIRN,15,70,0.8867885813652517,0.011351220895980788
Frank-WT MF-PIRN,15,80,0.9022059526471577,0.00913282993967606
Frank-WT MF-PIRN,15,90,0.9092295493628254,0.0074384191403050635
Frank-WT MF-PIRN,15,100,0.9182489535212431,0.006976203641713775
Frank-WT MF-PIRN,15,110,0.925746261206903,0.006502669470644222
Frank-WT MF-PIRN,15,120,0.9277782431259544,0.005737842398060406
Frank-WT MF-PIRN,15,130,0.9306621694595363,0.0048923622029056766
Frank-WT MF-PIRN,15,140,0.9299761577882006,0.004528161154020161
Frank-WT MF-PIRN,15,150,0.9333624113962675,0.006061267637206028
Frank-WT MF-PIRN,15,160,0.935558632272563,0.004299963250231254
Frank-WT MF-PIRN,15,170,0.9373714615148945,0.00400737115270248
Frank-WT MF-PIRN,15,180,0.9379750445988125,0.004154976230179297
Frank-WT MF-PIRN,15,190,0.9401203092929562,0.003669655382003745
Frank-WT MF-PIRN,15,200,0.9396624279890556,0.0037248482745351258
Frank-WT MF-PIRN,16,20,0.7104777815885925,0.04731737214186319
Frank-WT MF-PIRN,16,30,0.7725761734475284,0.03436746152205596
Frank-WT MF-PIRN,16,40,0.8090517530615416,0.025291438735649537
Frank-WT MF-PIRN,16,50,0.8380594556747898,0.018974945146139708
Frank-WT MF-PIRN,16,60,0.8634318688528144,0.014375905770483227
Frank-WT MF-PIRN,16,70,0.8837445800110972,0.01178555775128517
Frank-WT MF-PIRN,16,80,0.8969602278318958,0.008980136861099976
Frank-WT MF-PIRN,16,90,0.9059322559864411,0.007620080155783941
Frank-WT MF-PIRN,16,100,0.9123622628629697,0.006655539754601594
Frank-WT MF-PIRN,16,110,0.917282712055132,0.005605360116426793
Frank-WT MF-PIRN,16,120,0.9215119832990496,0.006296772064700888
Frank-WT MF-PIRN,16,130,0.9281825282473158,0.0047603719459175225
Frank-WT MF-PIRN,16,140,0.9274175072896171,0.004291931233954425
Frank-WT MF-PIRN,16,150,0.9294617715247078,0.004619026944916956
Frank-WT MF-PIRN,16,160,0.9332451586861206,0.003992916441571823
Frank-WT MF-PIRN,16,170,0.9341936789414556,0.004598359653885267
Frank-WT MF-PIRN,16,180,0.9315328259447551,0.0047591527182214224
Frank-WT MF-PIRN,16,190,0.9326261556504841,0.005052080563422806
Frank-WT MF-PIRN,16,200,0.9342553095336046,0.004291269021597495
Frank-WT MF-PIRN,17,20,0.7147217107223498,0.047564041713908135
Frank-WT MF-PIRN,17,30,0.7692543408959883,0.033652620716199205
Frank-WT MF-PIRN,17,40,0.8086742771462622,0.025535597764508405
Frank-WT MF-PIRN,17,50,0.8384386677447916,0.019050289405036402
Frank-WT MF-PIRN,17,60,0.8613645510179919,0.01450660518856058
Frank-WT MF-PIRN,17,70,0.8837436337507527,0.011307636230126967
Frank-WT MF-PIRN,17,80,0.8939100857172719,0.009165070195265483
Frank-WT MF-PIRN,17,90,0.9031840872681409,0.008394184333408928
Frank-WT MF-PIRN,17,100,0.9106778108568285,0.006664330379863225
Frank-WT MF-PIRN,17,110,0.9174809376453331,0.006777390286271197
Frank-WT MF-PIRN,17,120,0.9230428008818351,0.004947173043887251
Frank-WT MF-PIRN,17,130,0.9248589956725467,0.004934799013547971
Frank-WT MF-PIRN,17,140,0.9259846307078582,0.0042863657736186105
Frank-WT MF-PIRN,17,150,0.9272568142085186,0.005023599180418167
Frank-WT MF-PIRN,17,160,0.9339788477779929,0.005181071513791389
Frank-WT MF-PIRN,17,170,0.9324321643972613,0.004484959431286856
Frank-WT MF-PIRN,17,180,0.9340270620707448,0.0043502510993566655
Frank-WT MF-PIRN,17,190,0.9325733318681041,0.004057323178718557
Frank-WT MF-PIRN,17,200,0.9292508750663143,0.004089918545860535
